epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,583.889,0.85744,2.01885,3.3593,1.20259,0.946,0.09692,0.11938,0.0909,0.94475,0.09692,0.11929,0.08757,0.9191,2.00627,3.31662,1.37033,0.0702941,0.00330065,0.00330065
2,1163.71,0.84254,1.67958,2.56548,1.17248,0.79614,0.13689,0.15152,0.11143,0.79208,0.13189,0.15025,0.10823,1.01454,1.90807,3.02092,1.40478,0.0401628,0.00650263,0.00650263
3,1752.94,0.87257,1.73324,2.29274,1.17053,0.43433,0.16545,0.13855,0.09169,0.4347,0.16682,0.13898,0.09589,1.1168,2.33541,3.27275,1.50157,0.00989941,0.00957261,0.00957261
4,2320.24,0.95129,1.78826,2.29918,1.21448,0.79554,0.10968,0.12025,0.08394,0.80291,0.10877,0.12114,0.0875,1.31947,2.5557,3.66671,1.69367,0.009406,0.009406,0.009406
5,2884.49,0.98763,1.84021,2.27746,1.25125,0.46231,0.16389,0.13312,0.08979,0.45455,0.15617,0.12547,0.08264,1.21617,2.89893,3.2719,1.55163,0.009208,0.009208,0.009208
6,3451.75,1.00517,1.84536,2.21883,1.23979,0.84063,0.14244,0.15587,0.109,0.8385,0.14127,0.15622,0.11309,1.17771,2.2746,2.88072,1.52292,0.00901,0.00901,0.00901
7,4016.68,0.97693,1.69501,2.05766,1.21539,0.63661,0.16649,0.16135,0.11153,0.63755,0.16421,0.17111,0.12,1.15947,1.95049,2.65251,1.46053,0.008812,0.008812,0.008812
8,4580.17,0.99304,1.75,2.10222,1.25024,0.64621,0.16975,0.16967,0.11648,0.64933,0.17436,0.17487,0.12171,1.09939,1.9749,2.60585,1.46764,0.008614,0.008614,0.008614
9,5143.05,0.98014,1.68689,1.98237,1.22148,0.66159,0.17825,0.18913,0.12632,0.66939,0.18098,0.18906,0.11801,1.08609,1.96832,2.5694,1.47153,0.008416,0.008416,0.008416
10,5698.29,0.93243,1.54252,1.84546,1.20022,0.78758,0.18718,0.22668,0.14676,0.788,0.18238,0.2213,0.1535,1.10313,1.85681,2.43386,1.45769,0.008218,0.008218,0.008218
